sample,fastq_1,fastq_2,condition,horse
H1Control,H1Control.fq.gz,,control,1
H1IFN,H1IFN.fq.gz,,IFN,1
H1IIFNTNF,H1IIFNTNF.fq.gz,,IFN_TNF,1
H1TNF,H1TNF.fq.gz,,TNF,1
H2Control,H2Control.fq.gz,,control,2
H2IFN,H2IFN.fq.gz,,IFN,2
H2IIFNTNF,H2IIFNTNF.fq.gz,,IFN_TNF,2
H2TNF,H2TNF.fq.gz,,TNF,2
H3Control,H3Control.fq.gz,,control,3
H3IFN,H3IFN.fq.gz,,IFN,3
H3IIFNTNF,H3IIFNTNF.fq.gz,,IFN_TNF,3
H3TNF,H3TNF.fq.gz,,TNF,3
H4Control,H4Control.fq.gz,,control,4
H4IFN,H4IFN.fq.gz,,IFN,4
H4IIFNTNF,H4IIFNTNF.fq.gz,,IFN_TNF,4
H4TNF,H4TNF.fq.gz,,TNF,4
H5Control,H5Control.fq.gz,,control,5
H5IFN,H5IFN.fq.gz,,IFN,5
H5IIFNTNF,H5IIFNTNF.fq.gz,,IFN_TNF,5
H5TNF,H5TNF.fq.gz,,TNF,5
