sample,fastq_1
H1BMA,H1BMA.fq.gz
H1CellPP,H1CellPP.fq.gz
H1Centrate,H1Centrate.fq.gz
H1PPP,H1PPP.fq.gz
H1Plasma,H1Plasma.fq.gz
H1Prostride,H1Prostride.fq.gz
H1Restigen,H1Restigen.fq.gz
H2BMA,H2BMA.fq.gz
H2CellPP,H2CellPP.fq.gz
H2Centrate,H2Centrate.fq.gz
H2PPP,H2PPP.fq.gz
H2Plasma,H2Plasma.fq.gz
H2Prostride,H2Prostride.fq.gz
H2Restigen,H2Restigen.fq.gz
H3BMA,H3BMA.fq.gz
H3CellPP,H3CellPP.fq.gz
H3Centrate,H3Centrate.fq.gz
H3PPP,H3PPP.fq.gz
H3Plasma,H3Plasma.fq.gz
H3Prostride,H3Prostride.fq.gz
H3Restigen,H3Restigen.fq.gz
H4BMA,H4BMA.fq.gz
H4CellPP,H4CellPP.fq.gz
H4Centrate,H4Centrate.fq.gz
H4PPP,H4PPP.fq.gz
H4Plasma,H4Plasma.fq.gz
H4Prostride,H4Prostride.fq.gz
H4Restigen,H4Restigen.fq.gz
H5BMA,H5BMA.fq.gz
H5CellPP,H5CellPP.fq.gz
H5Centrate,H5Centrate.fq.gz
H5PPP,H5PPP.fq.gz
H5Plasma,H5Plasma.fq.gz
H5Prostride,H5Prostride.fq.gz
H5Restigen,H5Restigen.fq.gz
H6BMA,H6BMA.fq.gz
H6CellPP,H6CellPP.fq.gz
H6Centrate,H6Centrate.fq.gz
H6PPP,H6PPP.fq.gz
H6Plasma,H6Plasma.fq.gz
H6Prostride,H6Prostride.fq.gz
H6Restigen,H6Restigen.fq.gz
